soal,jawaban
Siapa penulis dari novel 'Harry Potter'?,J.K. Rowling
Berapa banyak sisi yang dimiliki oleh sebuah segi delapan?,8
Siapa penemu teori relativitas?,Albert Einstein
"Apa nama candi terkenal yang berada di Magelang, Indonesia?",Borobudur
"Negara mana yang memiliki bendera dengan warna merah, putih, dan biru dalam garis horizontal?",Belanda
Apa nama gunung tertinggi di Indonesia?,Puncak Jaya
Berapa suhu titik beku air dalam derajat Celcius?,0
Siapa yang menulis 'Hamlet'?,William Shakespeare
Apa nama kimia dari garam dapur?,Natrium Klorida
Apa ibu kota Australia?,Canberra
Berapa jumlah planet dalam tata surya?,8
Apa nama sungai terpanjang di dunia?,Sungai Nil
Siapa yang menciptakan karakter Batman?,Bob Kane
Berapa massa proton dalam atom?,1 amu
Apa nama kucing dalam film 'Garfield'?,Garfield
Siapa yang melukis Mona Lisa?,Leonardo da Vinci
Apa alat musik nasional Skotlandia?,Bagpipe
Berapa hari dalam satu tahun kabisat?,366
Siapa presiden ke-44 Amerika Serikat?,Barack Obama
Berapa jumlah tulang dalam tubuh manusia dewasa?,206
