soal,jawaban
Apa itu variabel dalam pemrograman?,Tempat penyimpanan
Apa fungsi dari if statement?,Percabangan logika
Sebutkan 3 bahasa pemrograman?,Python, Java, C++
Apa perbedaan for loop dan while loop?,Iterasi terbatas
Apa itu array?,Kumpulan elemen
Apa itu tipe data integer?,Bilangan bulat
Apa fungsi print() dalam Python?,Menampilkan output
Apa perbedaan = dan ==?,Assignment vs perbandingan
Apa itu fungsi?,Blok kode
Apa itu syntax error?,Kesalahan sintaks
Apa kegunaan komentar?,Penjelasan kode
Sebutkan contoh bahasa frontend?,HTML, CSS, JS
Apa fungsi return?,Mengembalikan nilai
Apa itu debugging?,Memperbaiki bug
Apa perbedaan float dan integer?,Desimal vs bulat
Apa itu string?,Rangkaian karakter
Apa itu boolean?,True/False
Apa itu IDE?,Lingkungan pengembangan
Sebutkan tipe data dasar?,Integer, float, boolean
Apa peran compiler?,Mengubah kode
