soal,jawaban
Di tahun berapa revolusi industri pertama terjadi?,1760
Apa nama enzim yang berperan dalam proses fotosintesis pada tumbuhan?,Rubisco
Siapa yang memenangkan Hadiah Nobel Perdamaian tahun 1991?,Aung San Suu Kyi
Apa nama molekul yang bertanggung jawab atas penyimpanan informasi genetik dalam sel?,DNA
Berapa kecepatan cahaya dalam vakum (dalam km/s)?,299792
Siapa filsuf yang menulis 'Republic'?,Plato
Apa nama unsur kimia dengan simbol 'Au'?,Emas
Siapa yang menemukan radium?,Marie Curie
Berapa volume molar gas ideal pada STP?,22.4 L
Apa nama reaksi yang digunakan untuk menghasilkan energi di matahari?,Fusi nuklir
Siapa tokoh utama dalam novel 'War and Peace'?,Pierre Bezukhov
Berapa panjang garis khatulistiwa?,40075 km
Apa nama negara terkecil di dunia?,Vatikan
Siapa yang menemukan hukum gravitasi?,Isaac Newton
Apa nama partikel subatom yang tidak bermuatan?,Neutron
Apa teori yang menghubungkan gravitasi dengan ruang dan waktu?,Teori Relativitas Umum
Apa nama reaksi kimia yang terjadi di matahari?,Fusi
Siapa penemu bahasa pemrograman Python?,Guido van Rossum
Berapa jumlah kromosom pada manusia?,46
Apa nama bintang terdekat dengan bumi setelah matahari?,Proxima Centauri
