soal,jawaban
Berapa hasil dari 2 + 2?,4
Ibukota dari Indonesia adalah?,Jakarta
"Warna primer yang terdiri dari merah, biru, dan apa lagi?",Kuning
Siapakah penemu bola lampu?,Edison
Planet terdekat dengan matahari adalah?,Merkurius
Berapa hasil dari 3 + 5?,8
Siapa presiden pertama Indonesia?,Soekarno
Apa warna daun pada umumnya?,Hijau
Hewan apa yang disebut raja hutan?,Singa
Berapa sisi yang dimiliki oleh sebuah persegi?,4
Apa bahasa resmi di Perancis?,Prancis
Apa simbol kimia untuk air?,H2O
Apa yang digunakan untuk menulis di papan tulis?,Kapur
Hewan apa yang terbang di langit?,Burung
Apa planet terbesar di tata surya?,Jupiter
Berapa hasil dari 10 - 3?,7
Apa hewan laut yang memiliki tentakel?,Gurita
Apa nama gunung tertinggi di dunia?,Everest
Siapa penulis buku 'Laskar Pelangi'?,Andrea Hirata
Apa nama alat musik yang dipetik?,Gitar
